,Unnamed: 0,name,artist,dancibility,energy,key,loudness,speechiness,instrumentalness,liveness,valence,tempo,prediction
168,168,Way 2 Sexy (with Future & Young Thug),Drake,0.8029999999999999,0.597,11,-6.035,0.141,4.5e-06,0.32299999999999995,0.331,136.00799999999998,Row(prediction=0)
136,136,Break from Toronto,PARTYNEXTDOOR,0.596,0.6779999999999999,9,-5.18,0.0335,0.004,0.418,0.259,117.066,Row(prediction=0)
44,44,Don't Stop Believin',Journey,0.5,0.748,4,-9.072,0.0363,0.0,0.447,0.514,118.852,Row(prediction=0)
302,302,abcdefu,GAYLE,0.695,0.54,4,-5.692,0.0493,0.0,0.3670000000000001,0.415,121.932,Row(prediction=0)
305,305,Ghost Town,Kanye West,0.573,0.545,7,-4.247,0.0288,0.0,0.329,0.297,83.37799999999999,Row(prediction=0)
307,307,GO (feat. Juice WRLD),The Kid LAROI,0.487,0.74,6,-4.973,0.0944,0.0,0.612,0.522,73.779,Row(prediction=0)
422,422,I Think I'm OKAY (with YUNGBLUD & Travis Barker),Machine Gun Kelly,0.628,0.7440000000000001,7,-4.718,0.0379,0.0,0.313,0.277,119.921,Row(prediction=0)
52,52,abcdefu,GAYLE,0.695,0.54,4,-5.692,0.0493,0.0,0.3670000000000001,0.415,121.932,Row(prediction=0)
24,24,Lucid Dreams,Juice WRLD,0.511,0.5660000000000001,6,-7.23,0.2,0.0,0.34,0.218,83.90299999999998,Row(prediction=0)
264,264,Flashing Lights,Kanye West,0.639,0.628,6,-7.5779999999999985,0.0399,0.0,0.386,0.43,90.482,Row(prediction=0)
267,267,Father Stretch My Hands Pt. 1,Kanye West,0.7240000000000001,0.573,7,-4.113,0.0549,0.0,0.5379999999999999,0.438,113.088,Row(prediction=0)
21,21,Dior,Pop Smoke,0.5479999999999999,0.805,7,-5.732,0.35100000000000003,0.000389,0.408,0.648,142.094,Row(prediction=0)
373,373,Washing Machine Heart,Mitski,0.613,0.8220000000000001,9,-4.087,0.026,0.506,0.429,0.5670000000000001,105.997,Row(prediction=0)
474,474,Nuketown (feat. Juice WRLD),Ski Mask The Slump God,0.8079999999999999,0.617,10,-9.32,0.442,0.0,0.7340000000000001,0.632,149.96200000000005,Row(prediction=0)
217,217,EARFQUAKE,"Tyler, The Creator",0.5539999999999999,0.498,9,-8.866,0.0685,5.98e-06,0.795,0.413,79.635,Row(prediction=0)
472,472,GO (feat. Juice WRLD),The Kid LAROI,0.487,0.74,6,-4.973,0.0944,0.0,0.612,0.522,73.779,Row(prediction=0)
8,8,Way 2 Sexy (with Future & Young Thug),Drake,0.8029999999999999,0.597,11,-6.035,0.141,4.5e-06,0.32299999999999995,0.331,136.00799999999998,Row(prediction=0)
209,209,Electric Love,BØRNS,0.611,0.797,6,-7.627000000000002,0.0533,0.00137,0.26,0.518,120.041,Row(prediction=0)
364,364,Hello (feat. A Boogie Wit da Hoodie),Pop Smoke,0.905,0.647,10,-5.065,0.107,0.0,0.282,0.3670000000000001,130.97,Row(prediction=0)
311,311,God's Plan,Drake,0.754,0.449,7,-9.211,0.109,8.290000000000001e-05,0.552,0.35700000000000004,77.169,Row(prediction=0)
71,71,After Party,Don Toliver,0.629,0.6920000000000001,5,-8.045,0.0376,0.331,0.603,0.453,162.94799999999995,Row(prediction=0)
350,350,hot girl bummer,blackbear,0.782,0.5589999999999999,6,-7.106,0.0767,0.0,0.385,0.685,129.99200000000002,Row(prediction=0)
15,15,death bed (coffee for your head),Powfu,0.726,0.431,8,-8.765,0.135,0.0,0.696,0.348,144.026,Row(prediction=0)
114,114,Way 2 Sexy (with Future & Young Thug),Drake,0.8029999999999999,0.597,11,-6.035,0.141,4.5e-06,0.32299999999999995,0.331,136.00799999999998,Row(prediction=0)
200,200,Way 2 Sexy (with Future & Young Thug),Drake,0.8029999999999999,0.597,11,-6.035,0.141,4.5e-06,0.32299999999999995,0.331,136.00799999999998,Row(prediction=0)
354,354,Headshot (feat. Polo G & Fivio Foreign),Lil Tjay,0.8079999999999999,0.639,1,-7.266,0.279,0.0,0.15,0.395,118.0,Row(prediction=1)
143,143,family ties (with Kendrick Lamar),Baby Keem,0.711,0.611,1,-5.4529999999999985,0.329,0.0,0.231,0.14400000000000002,134.14,Row(prediction=1)
92,92,She Knows (feat. Amber Coffman & Cults),J. Cole,0.7659999999999999,0.74,1,-10.363,0.0807,0.0784,0.229,0.183,118.008,Row(prediction=1)
319,319,Drip Too Hard (Lil Baby & Gunna),Lil Baby,0.897,0.662,1,-6.903,0.292,0.0,0.534,0.389,112.511,Row(prediction=1)
351,351,HUMBLE.,Kendrick Lamar,0.908,0.621,1,-6.638,0.102,5.39e-05,0.0958,0.421,150.011,Row(prediction=1)
324,324,Got It On Me,Pop Smoke,0.688,0.647,2,-7.257999999999999,0.19,1.65e-05,0.095,0.195,88.834,Row(prediction=1)
369,369,Drip Too Hard (Lil Baby & Gunna),Lil Baby,0.897,0.662,1,-6.903,0.292,0.0,0.534,0.389,112.511,Row(prediction=1)
97,97,Antarctica,$uicideboy$,0.715,0.633,2,-6.869,0.0804,4.45e-06,0.0905,0.319,105.945,Row(prediction=1)
326,326,GOSHA,$NOT,0.847,0.448,0,-10.14,0.416,1.35e-05,0.325,0.488,79.975,Row(prediction=1)
336,336,Happier Than Ever - Edit,Billie Eilish,0.334,0.599,0,-5.742000000000001,0.0365,0.000392,0.205,0.127,161.74,Row(prediction=1)
338,338,Hurricane,Kanye West,0.5870000000000001,0.561,0,-6.569,0.146,0.0,0.109,0.35100000000000003,80.009,Row(prediction=1)
116,116,Wants and Needs (feat. Lil Baby),Drake,0.578,0.449,1,-6.349,0.28600000000000003,2.17e-06,0.119,0.1,136.006,Row(prediction=1)
346,346,Need to Know,Doja Cat,0.664,0.609,1,-6.509,0.0707,0.0,0.0926,0.194,130.041,Row(prediction=1)
103,103,Blinding Lights,The Weeknd,0.514,0.73,1,-5.934,0.0598,9.54e-05,0.0897,0.334,171.005,Row(prediction=1)
126,126,Bound 2,Kanye West,0.3670000000000001,0.665,1,-2.821,0.0465,0.0,0.113,0.31,148.91299999999995,Row(prediction=1)
363,363,The Hills,The Weeknd,0.585,0.564,0,-7.063,0.0515,0.0,0.135,0.13699999999999998,113.003,Row(prediction=1)
343,343,Hold On,Adele,0.366,0.364,0,-7.814,0.0433,1.15e-05,0.165,0.459,165.90200000000004,Row(prediction=1)
98,98,Always Been You,Jessie Murph,0.655,0.5720000000000001,3,-7.666,0.0535,1.81e-06,0.0774,0.403,137.12,Row(prediction=1)
291,291,Ghost,Justin Bieber,0.601,0.741,2,-5.569,0.0478,2.9100000000000006e-05,0.415,0.441,153.96,Row(prediction=1)
308,308,"Gravity (feat. Tyler, The Creator)",Brent Faiyaz,0.539,0.615,1,-8.746,0.252,0.0056,0.14400000000000002,0.493,163.924,Row(prediction=1)
226,226,She Knows (feat. Amber Coffman & Cults),J. Cole,0.7659999999999999,0.74,1,-10.363,0.0807,0.0784,0.229,0.183,118.008,Row(prediction=1)
230,230,p r i d e . i s . t h e . d e v i l (with Lil Baby),J. Cole,0.861,0.6559999999999999,4,-7.867000000000001,0.425,0.0,0.0986,0.331,88.96700000000001,Row(prediction=1)
232,232,Sharing Locations (feat. Lil Baby & Lil Durk),Meek Mill,0.6809999999999999,0.63,1,-5.585,0.0385,0.0,0.139,0.183,151.951,Row(prediction=1)
213,213,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),DJ Khaled,0.477,0.727,2,-4.053,0.28600000000000003,0.0,0.108,0.227,150.062,Row(prediction=1)
212,212,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,0.677,0.696,0,-6.181,0.119,0.0,0.42,0.464,90.03,Row(prediction=1)
208,208,Martin & Gina,Polo G,0.8320000000000001,0.534,1,-7.813,0.253,0.0,0.165,0.116,93.924,Row(prediction=1)
207,207,Está Dañada,Ivan Cornejo,0.405,0.565,1,-9.266,0.0372,0.0195,0.107,0.166,159.892,Row(prediction=1)
204,204,Wants and Needs (feat. Lil Baby),Drake,0.578,0.449,1,-6.349,0.28600000000000003,2.17e-06,0.119,0.1,136.006,Row(prediction=1)
241,241,Element,Pop Smoke,0.772,0.878,2,-4.22,0.324,2.18e-06,0.251,0.305,61.31100000000001,Row(prediction=1)
247,247,Ramen & OJ,Joyner Lucas,0.597,0.5710000000000001,1,-6.205,0.293,0.0,0.093,0.165,106.196,Row(prediction=1)
250,250,Fair Trade (with Travis Scott),Drake,0.6659999999999999,0.465,1,-8.545,0.26,0.0,0.215,0.292,167.937,Row(prediction=1)
251,251,family ties (with Kendrick Lamar),Baby Keem,0.711,0.611,1,-5.4529999999999985,0.329,0.0,0.231,0.14400000000000002,134.14,Row(prediction=1)
256,256,Fuck Love (feat. Trippie Redd),XXXTENTACION,0.797,0.5329999999999999,0,-9.74,0.0412,0.000152,0.103,0.329,131.036,Row(prediction=1)
259,259,Fell In Luv (feat. Bryson Tiller),Playboi Carti,0.657,0.6679999999999999,2,-6.207999999999998,0.136,0.0,0.32,0.227,162.997,Row(prediction=1)
274,274,First Love / Late Spring,Mitski,0.445,0.5429999999999999,0,-8.196,0.0272,0.0137,0.202,0.102,99.963,Row(prediction=1)
275,275,Freestyle,Lil Baby,0.877,0.517,2,-5.426,0.0706,0.0,0.14300000000000002,0.255,119.996,Row(prediction=1)
178,178,She Knows (feat. Amber Coffman & Cults),J. Cole,0.7659999999999999,0.74,1,-10.363,0.0807,0.0784,0.229,0.183,118.008,Row(prediction=1)
176,176,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,0.677,0.696,0,-6.181,0.119,0.0,0.42,0.464,90.03,Row(prediction=1)
286,286,Good Days,SZA,0.436,0.655,1,-8.37,0.0583,8.1e-06,0.688,0.412,121.002,Row(prediction=1)
171,171,Cigarette Daydreams,Cage The Elephant,0.636,0.6759999999999999,2,-3.442,0.0263,0.0,0.0831,0.273,113.98,Row(prediction=1)
287,287,Praise God,Kanye West,0.7979999999999999,0.545,1,-6.466,0.168,9.48e-05,0.258,0.212,118.029,Row(prediction=1)
288,288,GHOST TOWN,Benson Boone,0.391,0.335,0,-10.064,0.0763,0.0,0.102,0.116,174.185,Row(prediction=1)
165,165,Need to Know,Doja Cat,0.664,0.609,1,-6.509,0.0707,0.0,0.0926,0.194,130.041,Row(prediction=1)
90,90,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,0.677,0.696,0,-6.181,0.119,0.0,0.42,0.464,90.03,Row(prediction=1)
298,298,Martin & Gina,Polo G,0.8320000000000001,0.534,1,-7.813,0.253,0.0,0.165,0.116,93.924,Row(prediction=1)
300,300,All Girls Are The Same,Juice WRLD,0.6709999999999999,0.529,0,-7.226,0.307,0.000335,0.0856,0.203,161.989,Row(prediction=1)
304,304,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,0.677,0.696,0,-6.181,0.119,0.0,0.42,0.464,90.03,Row(prediction=1)
146,146,Beware,Big Sean,0.7,0.5539999999999999,1,-5.909,0.187,1.36e-06,0.419,0.0633,97.127,Row(prediction=1)
374,374,Hot (feat. Moneybagg Yo),Meek Mill,0.773,0.623,2,-5.267,0.196,0.0,0.133,0.13,153.1,Row(prediction=1)
222,222,Drip Too Hard (Lil Baby & Gunna),Lil Baby,0.897,0.662,1,-6.903,0.292,0.0,0.534,0.389,112.511,Row(prediction=1)
9,9,Drip Too Hard (Lil Baby & Gunna),Lil Baby,0.897,0.662,1,-6.903,0.292,0.0,0.534,0.389,112.511,Row(prediction=1)
59,59,All Girls Are The Same,Juice WRLD,0.6709999999999999,0.529,0,-7.226,0.307,0.000335,0.0856,0.203,161.989,Row(prediction=1)
58,58,All Too Well (Taylor's Version),Taylor Swift,0.44,0.528,0,-7.809,0.0317,0.00203,0.234,0.132,185.972,Row(prediction=1)
421,421,Está Dañada,Ivan Cornejo,0.405,0.565,1,-9.266,0.0372,0.0195,0.107,0.166,159.892,Row(prediction=1)
425,425,In the End,Linkin Park,0.556,0.8640000000000001,3,-5.87,0.0584,0.0,0.209,0.4,105.143,Row(prediction=1)
427,427,I Wonder,Kanye West,0.542,0.466,0,-8.665,0.0831,0.000445,0.125,0.124,191.385,Row(prediction=1)
46,46,DNA.,Kendrick Lamar,0.638,0.523,1,-6.664,0.35700000000000004,0.0,0.0842,0.422,139.91299999999998,Row(prediction=1)
434,434,Jocelyn Flores,XXXTENTACION,0.872,0.391,0,-9.144,0.242,4.13e-06,0.297,0.4370000000000001,134.02100000000002,Row(prediction=1)
34,34,Doin' This,Luke Combs,0.593,0.552,1,-5.837999999999999,0.028,1.7100000000000002e-05,0.11,0.39,115.0,Row(prediction=1)
31,31,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,0.677,0.696,0,-6.181,0.119,0.0,0.42,0.464,90.03,Row(prediction=1)
29,29,Fair Trade (with Travis Scott),Drake,0.6659999999999999,0.465,1,-8.545,0.26,0.0,0.215,0.292,167.937,Row(prediction=1)
28,28,Drankin N Smokin,Future,0.752,0.6579999999999999,0,-6.2970000000000015,0.342,0.0,0.0927,0.387,151.951,Row(prediction=1)
27,27,Está Dañada,Ivan Cornejo,0.405,0.565,1,-9.266,0.0372,0.0195,0.107,0.166,159.892,Row(prediction=1)
10,10,Do They Know It's Christmas? - 1984 Version,Band Aid,0.599,0.642,0,-6.936,0.0363,3.33e-05,0.0992,0.349,115.412,Row(prediction=1)
12,12,Need to Know,Doja Cat,0.664,0.609,1,-6.509,0.0707,0.0,0.0926,0.194,130.041,Row(prediction=1)
463,463,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,0.677,0.696,0,-6.181,0.119,0.0,0.42,0.464,90.03,Row(prediction=1)
412,412,No Friends In The Industry,Drake,0.84,0.7440000000000001,1,-4.751,0.113,0.0,0.629,0.171,83.73700000000002,Row(prediction=1)
72,72,Wants and Needs (feat. Lil Baby),Drake,0.578,0.449,1,-6.349,0.28600000000000003,2.17e-06,0.119,0.1,136.006,Row(prediction=1)
14,14,Good Days,SZA,0.436,0.655,1,-8.37,0.0583,8.1e-06,0.688,0.412,121.002,Row(prediction=1)
79,79,Martin & Gina,Polo G,0.8320000000000001,0.534,1,-7.813,0.253,0.0,0.165,0.116,93.924,Row(prediction=1)
3,3,deja vu,Olivia Rodrigo,0.442,0.612,2,-7.222,0.112,5.7000000000000005e-06,0.37,0.17800000000000002,180.917,Row(prediction=1)
83,83,a lot,21 Savage,0.8370000000000001,0.636,1,-7.643,0.086,0.00125,0.342,0.274,145.972,Row(prediction=1)
106,106,Bad Habits,Ed Sheeran,0.807,0.893,11,-3.745,0.0347,2.79e-05,0.366,0.537,126.011,Row(prediction=2)
282,282,Get Into It (Yuh),Doja Cat,0.912,0.655,8,-6.029,0.162,3.39e-05,0.0894,0.7929999999999999,91.942,Row(prediction=2)
173,173,Chasin' You,Morgan Wallen,0.631,0.591,7,-5.785,0.0277,0.0,0.11,0.489,97.074,Row(prediction=2)
388,388,Get Into It (Yuh),Doja Cat,0.912,0.655,8,-6.029,0.162,3.39e-05,0.0894,0.7929999999999999,91.942,Row(prediction=2)
35,35,Bubbly (with Drake & Travis Scott),Young Thug,0.91,0.585,11,-7.572,0.257,0.0,0.127,0.599,129.011,Row(prediction=2)
443,443,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,0.741,0.691,10,-7.395,0.0672,0.0,0.0476,0.892,150.08700000000005,Row(prediction=2)
438,438,Joy To The World,Nat King Cole,0.5529999999999999,0.337,10,-10.334,0.03,0.0,0.113,0.662,101.918,Row(prediction=2)
39,39,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,0.728,0.7829999999999999,11,-4.424,0.266,0.0,0.434,0.555,77.01100000000002,Row(prediction=2)
167,167,Collard Greens,ScHoolboy Q,0.825,0.575,11,-4.87,0.0633,9.94e-06,0.205,0.65,153.954,Row(prediction=2)
437,437,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,0.728,0.7829999999999999,11,-4.424,0.266,0.0,0.434,0.555,77.01100000000002,Row(prediction=2)
435,435,"jealousy, jealousy",Olivia Rodrigo,0.695,0.575,10,-6.334,0.116,0.0,0.0614,0.6990000000000001,163.929,Row(prediction=2)
290,290,Can I Get It,Adele,0.703,0.68,9,-6.1179999999999986,0.0431,0.0,0.17800000000000002,0.536,97.985,Row(prediction=2)
96,96,Bubbly (with Drake & Travis Scott),Young Thug,0.91,0.585,11,-7.572,0.257,0.0,0.127,0.599,129.011,Row(prediction=2)
292,292,Godzilla (feat. Juice WRLD),Eminem,0.8079999999999999,0.745,10,-5.26,0.342,0.0,0.292,0.8290000000000001,165.995,Row(prediction=2)
296,296,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",Nardo Wick,0.7390000000000001,0.74,5,-5.86,0.333,0.0,0.161,0.488,75.575,Row(prediction=2)
160,160,Champagne Poetry,Drake,0.423,0.667,6,-7.0120000000000005,0.326,0.0,0.246,0.496,86.743,Row(prediction=2)
43,43,Heat Waves,Glass Animals,0.7609999999999999,0.525,11,-6.9,0.0944,6.7e-06,0.0921,0.531,80.87,Row(prediction=2)
299,299,"GONE, GONE / THANK YOU","Tyler, The Creator",0.518,0.4920000000000001,10,-8.436,0.193,0.0012,0.146,0.471,78.848,Row(prediction=2)
45,45,Mood (feat. iann dior),24kGoldn,0.701,0.716,7,-3.671,0.0361,0.0,0.324,0.732,91.007,Row(prediction=2)
446,446,Just the Two of Us (feat. Bill Withers),"Grover Washington, Jr.",0.7490000000000001,0.4970000000000001,10,-12.609000000000002,0.105,0.0499,0.0504,0.585,95.818,Row(prediction=2)
450,450,Godzilla (feat. Juice WRLD),Eminem,0.8079999999999999,0.745,10,-5.26,0.342,0.0,0.292,0.8290000000000001,165.995,Row(prediction=2)
211,211,Everybody Dies In Their Nightmares,XXXTENTACION,0.7340000000000001,0.57,7,-7.066,0.133,2.14e-05,0.112,0.6890000000000001,129.953,Row(prediction=2)
80,80,Alien Blues,Vundabar,0.464,0.682,10,-8.541,0.033,0.8320000000000001,0.0856,0.455,80.062,Row(prediction=2)
467,467,No Role Modelz,J. Cole,0.6920000000000001,0.521,10,-8.465,0.33,0.0,0.0565,0.463,100.45,Row(prediction=2)
244,244,El Tóxico,Grupo Firme,0.626,0.503,10,-5.087,0.141,0.0,0.234,0.821,72.985,Row(prediction=2)
377,377,2055,Sleepy Hallow,0.8290000000000001,0.512,6,-5.865,0.187,0.0,0.12,0.638,80.51100000000002,Row(prediction=2)
236,236,Armed And Dangerous,Juice WRLD,0.736,0.67,10,-6.702000000000001,0.311,0.0,0.114,0.845,130.032,Row(prediction=2)
18,18,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",Nardo Wick,0.7390000000000001,0.74,5,-5.86,0.333,0.0,0.161,0.488,75.575,Row(prediction=2)
206,206,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",Nardo Wick,0.7390000000000001,0.74,5,-5.86,0.333,0.0,0.161,0.488,75.575,Row(prediction=2)
386,386,Can I Get It,Adele,0.703,0.68,9,-6.1179999999999986,0.0431,0.0,0.17800000000000002,0.536,97.985,Row(prediction=2)
468,468,Billie Jean,Michael Jackson,0.92,0.654,11,-3.051,0.0401,0.0158,0.0359,0.847,117.046,Row(prediction=2)
192,192,Closer,The Chainsmokers,0.748,0.524,8,-5.599,0.0338,0.0,0.111,0.6609999999999999,95.01,Row(prediction=2)
177,177,Chamber Of Reflection,Mac DeMarco,0.5379999999999999,0.557,11,-8.677999999999999,0.0914,0.914,0.102,0.506,131.03,Row(prediction=2)
84,84,Heat Waves,Glass Animals,0.7609999999999999,0.525,11,-6.9,0.0944,6.7e-06,0.0921,0.531,80.87,Row(prediction=2)
189,189,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,0.774,0.511,11,-8.914,0.0319,0.0,0.0672,0.7709999999999999,94.736,Row(prediction=2)
453,453,JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),"Tyler, The Creator",0.8270000000000001,0.5710000000000001,11,-7.949,0.366,0.0,0.166,0.62,142.034,Row(prediction=2)
452,452,Leave Before You Love Me (with Jonas Brothers),Marshmello,0.721,0.738,7,-4.77,0.0403,4.41e-06,0.118,0.637,119.976,Row(prediction=2)
266,266,Feathered Indians,Tyler Childers,0.536,0.574,7,-6.705,0.0254,0.00277,0.105,0.877,87.194,Row(prediction=2)
269,269,Face Off,Tech N9ne,0.693,0.935,8,-4.323,0.224,0.0,0.179,0.391,80.882,Row(prediction=2)
82,82,A-O-K,Tai Verdes,0.731,0.626,11,-6.919,0.0805,0.0,0.183,0.862,82.488,Row(prediction=2)
93,93,All The Stars (with SZA),Kendrick Lamar,0.698,0.633,8,-4.9460000000000015,0.0597,0.000194,0.0926,0.552,96.924,Row(prediction=2)
234,234,Rich MF (feat. Polo G & Lil Durk),Trippie Redd,0.7559999999999999,0.698,6,-5.464,0.17800000000000002,0.0,0.221,0.66,77.497,Row(prediction=2)
277,277,Faucet Failure,Ski Mask The Slump God,0.935,0.552,10,-9.373,0.335,0.0,0.0952,0.615,99.993,Row(prediction=2)
23,23,Don't Be Shy,Tiësto,0.77,0.787,11,-3.748,0.0583,0.0,0.262,0.513,119.986,Row(prediction=2)
155,155,Cry Your Heart Out,Adele,0.7559999999999999,0.713,7,-6.917000000000002,0.102,3.35e-06,0.248,0.59,125.064,Row(prediction=2)
383,383,I Love You So,The Walters,0.575,0.648,10,-4.891,0.0358,0.0,0.115,0.466,75.977,Row(prediction=2)
48,48,Kiss Me More (feat. SZA),Doja Cat,0.762,0.701,8,-3.5410000000000004,0.0286,0.00015800000000000002,0.123,0.742,110.968,Row(prediction=2)
414,414,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,0.741,0.691,10,-7.395,0.0672,0.0,0.0476,0.892,150.08700000000005,Row(prediction=2)
65,65,Are You Bored Yet? (feat. Clairo),Wallows,0.682,0.6829999999999999,8,-6.444,0.0287,2.32e-05,0.273,0.64,120.023,Row(prediction=2)
66,66,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,0.728,0.7829999999999999,11,-4.424,0.266,0.0,0.434,0.555,77.01100000000002,Row(prediction=2)
124,124,Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,0.713,0.6759999999999999,10,-5.483,0.027000000000000003,0.0,0.154,0.721,99.048,Row(prediction=2)
345,345,Heartless,Kanye West,0.79,0.647,10,-5.983,0.136,0.0,0.248,0.654,87.999,Row(prediction=2)
68,68,Armed And Dangerous,Juice WRLD,0.736,0.67,10,-6.702000000000001,0.311,0.0,0.114,0.845,130.032,Row(prediction=2)
469,469,Jack & Diane,John Mellencamp,0.8109999999999999,0.41,9,-8.214,0.0391,6.63e-06,0.0799,0.626,103.965,Row(prediction=2)
119,119,Butter,BTS,0.759,0.459,8,-5.187,0.0948,0.0,0.0906,0.695,109.997,Row(prediction=2)
118,118,Rockin' Around The Christmas Tree,Brenda Lee,0.589,0.472,8,-8.749,0.0502,0.0,0.505,0.898,67.196,Row(prediction=2)
339,339,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",Nardo Wick,0.7390000000000001,0.74,5,-5.86,0.333,0.0,0.161,0.488,75.575,Row(prediction=2)
348,348,Heat Waves,Glass Animals,0.7609999999999999,0.525,11,-6.9,0.0944,6.7e-06,0.0921,0.531,80.87,Row(prediction=2)
397,397,Do It To It,ACRAZE,0.8540000000000001,0.8059999999999999,11,-8.262,0.0886,0.0542,0.0703,0.637,124.927,Row(prediction=2)
401,401,It Was A Good Day,Ice Cube,0.7979999999999999,0.7440000000000001,7,-5.3279999999999985,0.136,0.000106,0.292,0.794,82.35600000000002,Row(prediction=2)
74,74,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",Nardo Wick,0.7390000000000001,0.74,5,-5.86,0.333,0.0,0.161,0.488,75.575,Row(prediction=2)
75,75,Adore You,Harry Styles,0.6759999999999999,0.7709999999999999,8,-3.675,0.0483,7.000000000000001e-06,0.102,0.569,99.048,Row(prediction=2)
221,221,Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),Taylor Swift,0.498,0.61,6,-5.098,0.0363,0.0,0.223,0.474,79.918,Row(prediction=2)
356,356,Happy Holiday / The Holiday Season,Andy Williams,0.505,0.451,9,-10.193,0.0329,0.0,0.233,0.7440000000000001,74.347,Row(prediction=2)
473,473,Juicy - 2005 Remaster,The Notorious B.I.G.,0.889,0.818,9,-4.6389999999999985,0.253,0.0,0.179,0.782,96.063,Row(prediction=2)
359,359,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,0.741,0.691,10,-7.395,0.0672,0.0,0.0476,0.892,150.08700000000005,Row(prediction=2)
107,107,Bubbly (with Drake & Travis Scott),Young Thug,0.91,0.585,11,-7.572,0.257,0.0,0.127,0.599,129.011,Row(prediction=2)
406,406,Sweater Weather,The Neighbourhood,0.612,0.807,10,-2.81,0.0336,0.0177,0.101,0.398,124.053,Row(prediction=2)
418,418,Mood (feat. iann dior),24kGoldn,0.701,0.716,7,-3.671,0.0361,0.0,0.324,0.732,91.007,Row(prediction=2)
355,355,Cry Your Heart Out,Adele,0.7559999999999999,0.713,7,-6.917000000000002,0.102,3.35e-06,0.248,0.59,125.064,Row(prediction=2)
337,337,Bad Habits,Ed Sheeran,0.807,0.893,11,-3.745,0.0347,2.79e-05,0.366,0.537,126.011,Row(prediction=2)
152,152,Can I Get It,Adele,0.703,0.68,9,-6.1179999999999986,0.0431,0.0,0.17800000000000002,0.536,97.985,Row(prediction=2)
151,151,Rockin' Around The Christmas Tree,Brenda Lee,0.589,0.472,8,-8.749,0.0502,0.0,0.505,0.898,67.196,Row(prediction=2)
428,428,Everybody Dies In Their Nightmares,XXXTENTACION,0.7340000000000001,0.57,7,-7.066,0.133,2.14e-05,0.112,0.6890000000000001,129.953,Row(prediction=2)
